Tale;Fractal Dimension (Letters);Fractal Dimension (Clauses);Fractal Dimension (Sentences);Fractal Dimension (Episodes)
Tale 1;0.9593;1.0417;0.944;1.408
Tale 2;0.9742;1.1473;1.0227;1.5576
Tale 3;0.9731;1.1707;1.0673;1.6123
Tale 4;0.9665;0.9043;1.2001;1.2188
Tale 5;0.9697;1.168;1.1479;2.0128
Tale 6;0.9689;0.8356;1.1846;1.9021
Tale 7;0.9782;1.0283;1.2088;1.8667
Tale 8;0.9628;0.704;1.1691;1.5692
Tale 9;0.9688;0.8973;0.9343;1.9908
Tale 10;0.9744;1.0595;1.2077;1.6416
Tale 11;0.9824;1.2306;1.0983;1.8955
Tale 12;0.976;1.0782;1.2289;1.6009
Tale 13;0.9755;1.2735;0.9306;1.7126
Tale 14;0.9725;1.0651;0.9643;1.6706
Tale 15;0.972;1.0748;1.0513;1.8814
Tale 16;0.9655;1.4967;2.1863;1.2924
Tale 17;0.969;1.0377;1.2962;1.3535
Tale 18;0.9716;1.0582;0.8797;1.9212
;0.9711333333;1.0706388889;1.1512277778;1.6726666667
