Tale;Fractal Dimension (Letters);Fractal Dimension (Clauses);Fractal Dimension (Sentences);
Tale 1;0.9973;1.0685;1.0392;1.9913
Tale 2;1.0017;1.019;1.1788;1.9973
Tale 3;0.9992;1.0986;1.2239;1.2213
Tale 4;0.997;0.988;0.9133;1.5865
Tale 5;0.9905;1.2479;1.2363;1.5678
Tale 6;0.9954;1.217;1.2986;2.4134
Tale 7;0.9851;1.1488;0.9084;1.3858
Tale 8;0.9899;1.0273;0.7517;1.061
Tale 9;0.9963;1.0003;1.2684;1.6182
Tale 10;1.0014;1.0599;1.294;1.6377
Tale 11;0.9941;1.113;0.9631;1.0064
Tale 12;0.9934;1.0028;1.1242;2.4144
Tale 13;0.9971;1.1029;0.8355;2.414
Tale 14;1.0041;1.0593;1.0655;1.1329
Tale 15;0.9849;1.11;1.2794;2.4148
Tale 16;0.9942;0.999;1.0092;1.1254
Tale 17;0.9942;1.0214;0.991;1.8964
Tale 18;0.9942;1.2178;1.5846;2.4149
Tale 19;0.9881;1.069;1.0841;2.4135
Tale 20;0.9872;1.1277;1.0465;1.3798
Tale 21;1.0072;1.1237;1.2565;1.045
Tale 22;0.9954;0.9954;1.1251;1.1948
Tale 23;0.9883;1.1051;1.862;2.4158
Tale 24;0.9973;1.0778;1.2055;1.7094
Tale 25;0.9877;0.8881;1.206;1.4653
;0.994448;1.075532;1.150032;1.716924
