Tale;Fractal Dimension (Letters);Fractal Dimension (Words);Fractal Dimension (Clauses);Fractal Dimension (Sentences);Fractal Dimension (Episodes)
Tale 16;0.9655;1.169;1.4967;2.1863;1.4703
Tale 17;0.969;1.0712;1.0377;1.2962;1.4028
Tale 18;0.9716;1.0138;1.0582;0.8797;1.971
Tale 19;0.971;0.9787;1.1324;1.1821;1.7154
Tale 20;0.9761;1.0837;1.1085;1.08;0.8254
Tale 21;0.9805;1.1005;0.8098;1.1074;1.4523
Tale 22;0.9726;1.2393;1.0013;1.3392;1.1655
Tale 23;0.9708;1.0841;1.031;1.1045;1.2447
Tale 24;0.9735;0.96;1.0295;1.0454;1.2686
Tale 25;0.983;1.0515;0.9094;1.0058;0.9968
