Tale Number,word_length_Hurst,Moran_linear,sentence_length_Hurst,clause_length_Hurst,episode_length_Hurst,letter_count_Hurst
1,0.5064009404361348,0.027248354030331323,0.6110138757766873,0.7593432141887303,,0.5681757715095226
2,0.438270280644405,-0.02486146592242119,0.3584143773594032,0.5334224571041694,,0.5425462656627837
3,0.5182207382235441,0.08470486548488222,0.6427760314206322,0.44747874183021313,,0.601576197037194
4,0.6035534509870922,0.045642863556569664,0.6878629749652788,0.2603449692270682,,0.46701626081362707
5,0.3524138408888384,0.014718368915574051,0.7787212384103582,0.27981375816724097,,0.7481251028425258
6,0.37718378034018407,0.008775641586199654,0.7589539428738026,0.5847934585291299,,0.6559020677024517
7,0.48618353941135606,-0.02652340863346538,0.4864525038660035,0.5309751188636468,,0.5409815525538559
8,0.48829400812514206,-0.024381448426728708,0.8040746532902588,0.6111038120013581,,0.530720629335799
9,0.49329251159370235,0.02979692124877008,0.6549768418908191,0.6771149471777815,,0.5219128675237015
10,0.5953517293997163,0.029264340190928873,0.42673799513610255,0.5590377787396349,,0.5776972046948923
